DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
24-Dec-2025,EQ,"1,780.20","1,781.00","1,732.10","1,780.20","1,737.00","1,737.70","1,749.61","10,026.80","1,525.00",2702033,"4,72,75,03,647.00",127174
23-Dec-2025,EQ,"1,847.00","1,847.00","1,739.30","1,868.70","1,778.00","1,780.20","1,781.99","10,026.80","1,525.00",3815131,"6,79,85,32,194.20",133061
22-Dec-2025,EQ,"1,850.00","1,882.00","1,847.80","1,845.40","1,864.10","1,868.70","1,866.69","10,026.80","1,525.00",824181,"1,53,84,90,856.10",41900
19-Dec-2025,EQ,"1,871.20","1,877.70","1,837.00","1,854.80","1,840.00","1,845.40","1,847.67","10,026.80","1,525.00",2031217,"3,75,30,20,418.90",71742
18-Dec-2025,EQ,"1,849.70","1,870.20","1,828.00","1,844.70","1,853.00","1,854.80","1,849.27","10,026.80","1,525.00",983034,"1,81,78,94,599.70",54357
17-Dec-2025,EQ,"1,866.80","1,887.30","1,840.90","1,866.80","1,847.00","1,844.70","1,861.30","10,026.80","1,525.00",728993,"1,35,68,74,928.00",34408
16-Dec-2025,EQ,"1,867.00","1,871.40","1,841.50","1,870.00","1,862.00","1,866.80","1,859.57","10,026.80","1,525.00",810515,"1,50,72,10,940.30",39350
15-Dec-2025,EQ,"1,855.00","1,874.90","1,835.50","1,851.00","1,872.00","1,870.00","1,863.23","10,026.80","1,525.00",774833,"1,44,36,88,382.00",36251
12-Dec-2025,EQ,"1,850.00","1,854.70","1,825.80","1,841.40","1,853.90","1,851.00","1,840.47","10,026.80","1,525.00",1341771,"2,46,94,84,069.80",40928
11-Dec-2025,EQ,"1,828.00","1,864.00","1,823.90","1,820.20","1,842.30","1,841.40","1,839.93","10,026.80","1,525.00",1305450,"2,40,19,34,989.70",63629
10-Dec-2025,EQ,"1,883.70","1,889.00","1,816.20","1,873.50","1,823.00","1,820.20","1,847.41","10,026.80","1,525.00",1182576,"2,18,46,99,074.00",54229
09-Dec-2025,EQ,"1,938.10","1,938.10","1,855.20","1,951.30","1,870.70","1,873.50","1,877.20","10,026.80","1,525.00",2178634,"4,08,97,42,521.80",83578
08-Dec-2025,EQ,"1,980.00","1,989.70","1,932.70","1,977.90","1,948.00","1,951.30","1,956.37","10,026.80","1,525.00",1538773,"3,01,04,04,198.10",45669
05-Dec-2025,EQ,"1,970.00","1,988.20","1,957.00","1,966.20","1,973.00","1,977.90","1,977.30","10,026.80","1,525.00",1822538,"3,60,36,96,875.40",49298
04-Dec-2025,EQ,"1,922.00","1,986.00","1,917.80","1,912.50","1,966.70","1,966.20","1,961.33","10,026.80","1,525.00",3120396,"6,12,01,37,418.60",122166
03-Dec-2025,EQ,"1,922.00","1,934.00","1,895.10","1,913.90","1,917.80","1,912.50","1,913.73","10,026.80","1,525.00",1033164,"1,97,71,96,456.80",52821
02-Dec-2025,EQ,"1,908.00","1,927.20","1,902.00","1,902.60","1,915.00","1,913.90","1,913.52","10,026.80","1,525.00",789262,"1,51,02,68,792.40",30772
01-Dec-2025,EQ,"1,919.00","1,936.00","1,898.00","1,908.70","1,902.00","1,902.60","1,917.44","10,026.80","1,525.00",957784,"1,83,64,91,364.80",54720
28-Nov-2025,EQ,"1,916.00","1,932.40","1,901.00","1,910.20","1,910.70","1,908.70","1,914.78","10,026.80","1,525.00",1344163,"2,57,37,70,821.30",50075
27-Nov-2025,EQ,"1,878.00","1,915.00","1,872.00","1,871.10","1,907.00","1,910.20","1,899.96","10,026.80","1,525.00",1702344,"3,23,43,78,105.90",74632
26-Nov-2025,EQ,"1,845.70","1,873.00","1,830.20","1,831.70","1,871.00","1,871.10","1,858.21","10,026.80","1,525.00",902345,"1,67,67,49,804.40",40340
25-Nov-2025,EQ,"1,815.00","1,834.20","1,793.20","1,808.20","1,830.00","1,831.70","1,812.43","10,026.80","1,525.00",1612174,"2,92,19,57,946.50",62978
24-Nov-2025,EQ,"1,802.00","1,835.00","1,800.00","1,797.50","1,809.90","1,808.20","1,814.77","10,026.80","1,525.00",1409000,"2,55,70,05,974.00",54254
21-Nov-2025,EQ,"1,836.90","1,849.90","1,791.10","1,846.10","1,794.90","1,797.50","1,804.70","10,026.80","1,525.00",1342531,"2,42,28,70,006.40",82463
20-Nov-2025,EQ,"1,878.00","1,888.00","1,840.50","1,858.20","1,849.00","1,846.10","1,858.31","10,026.80","1,525.00",1733072,"3,22,05,90,157.90",56111
19-Nov-2025,EQ,"1,783.40","1,865.70","1,775.80","1,784.30","1,863.00","1,858.20","1,836.70","10,026.80","1,525.00",2324817,"4,26,99,97,403.40",89203
18-Nov-2025,EQ,"1,790.00","1,795.00","1,771.50","1,801.10","1,775.00","1,784.30","1,782.90","10,026.80","1,525.00",785781,"1,40,09,68,144.30",45198
17-Nov-2025,EQ,"1,806.10","1,815.10","1,791.50","1,799.60","1,801.90","1,801.10","1,802.26","10,026.80","1,525.00",518247,"93,40,13,841.00",26247
14-Nov-2025,EQ,"1,801.00","1,805.00","1,756.00","1,810.20","1,802.00","1,799.60","1,782.80","10,026.80","1,525.00",1575511,"2,80,88,15,516.80",60281
13-Nov-2025,EQ,"1,830.00","1,830.00","1,798.40","1,827.70","1,806.30","1,810.20","1,818.01","10,026.80","1,525.00",1550251,"2,81,83,65,959.50",64327
12-Nov-2025,EQ,"1,808.00","1,832.00","1,801.00","1,797.10","1,823.80","1,827.70","1,821.70","10,026.80","1,525.00",1138331,"2,07,37,00,118.10",56122
11-Nov-2025,EQ,"1,768.80","1,800.00","1,757.80","1,757.60","1,797.80","1,797.10","1,781.35","10,026.80","1,525.00",2162659,"3,85,24,62,298.60",60724
10-Nov-2025,EQ,"1,740.40","1,772.20","1,723.30","1,740.20","1,756.10","1,757.60","1,755.49","10,026.80","1,525.00",1401690,"2,46,06,51,791.00",57946
07-Nov-2025,EQ,"1,750.00","1,751.50","1,715.00","1,763.90","1,740.40","1,740.20","1,738.17","10,026.80","1,525.00",1410909,"2,45,23,97,772.70",54942
